# Date                     : 2021-12-07 21:05:57
# Inumpyut                    : <nvaGr_20211202.Baseline instance at 0x369f998>
# Density /A^3             : 0.09
# rcut; g(r < rcut) = 0.0  : 1.3


#           r          G(r)       delta-r    delta-G(r)
        26.56      -3.34919          0.02     0.0290905
        26.58      -3.42191          0.02     0.0291017
         26.6      -3.46454          0.02     0.0291001
        26.62      -3.47716          0.02      0.029086
        26.64      -3.45942          0.02     0.0290705
        26.66      -3.41053          0.02     0.0290661
        26.68      -3.32937          0.02     0.0290767
         26.7      -3.21479          0.02     0.0290946
        26.72      -3.06605          0.02     0.0291076
        26.74      -2.88325          0.02     0.0291083
        26.76      -2.66768          0.02     0.0290989
        26.78        -2.422          0.02     0.0290872
         26.8      -2.15022          0.02     0.0290794
        26.82      -1.85744          0.02     0.0290765
        26.84      -1.54941          0.02      0.029076
        26.86      -1.23197          0.02     0.0290758
        26.88     -0.910546          0.02     0.0290765
         26.9     -0.589729          0.02     0.0290791
        26.92     -0.273026          0.02      0.029082
        26.94     0.0371331          0.02     0.0290819
        26.96       0.33921          0.02      0.029077
        26.98      0.632231          0.02     0.0290697
           27      0.915421          0.02     0.0290652
        27.02       1.18788          0.02      0.029067
        27.04       1.44841          0.02     0.0290733
        27.06       1.69546          0.02     0.0290783
        27.08       1.92723          0.02     0.0290776
         27.1        2.1419          0.02     0.0290723
        27.12       2.33776          0.02     0.0290685
        27.14        2.5134          0.02     0.0290716
        27.16       2.66766          0.02     0.0290812
        27.18        2.7995          0.02     0.0290911
         27.2       2.90781          0.02     0.0290944
        27.22       2.99117          0.02     0.0290895
        27.24        3.0477          0.02      0.029081
        27.26       3.07513          0.02     0.0290757
        27.28       3.07096          0.02      0.029077
         27.3       3.03294          0.02     0.0290827
        27.32       2.95959          0.02     0.0290879
        27.34       2.85072          0.02     0.0290896
        27.36       2.70788          0.02     0.0290889
        27.38       2.53449          0.02     0.0290881
         27.4       2.33577          0.02     0.0290882
        27.42       2.11831          0.02     0.0290872
        27.44       1.88943          0.02     0.0290836
        27.46       1.65644          0.02      0.029079
        27.48       1.42596          0.02     0.0290776
         27.5       1.20333          0.02     0.0290825
        27.52      0.992318          0.02     0.0290918
        27.54      0.795134          0.02     0.0290988
        27.56      0.612604          0.02     0.0290978
        27.58       0.44457          0.02     0.0290887
         27.6       0.29033          0.02      0.029078
        27.62      0.149038          0.02     0.0290735
        27.64     0.0199899          0.02      0.029078
        27.66    -0.0972288          0.02     0.0290868
        27.68     -0.202727          0.02     0.0290921
         27.7     -0.296381          0.02     0.0290896
        27.72     -0.377932          0.02     0.0290819
        27.74     -0.447081          0.02     0.0290764
        27.76      -0.50353          0.02     0.0290786
        27.78     -0.546988          0.02     0.0290869
         27.8     -0.577157          0.02     0.0290941
        27.82     -0.593727          0.02     0.0290929
        27.84      -0.59641          0.02     0.0290826
        27.86     -0.585006          0.02     0.0290699
        27.88     -0.559509          0.02     0.0290642
         27.9     -0.520203          0.02     0.0290694
        27.92     -0.467726          0.02     0.0290812
        27.94     -0.403071          0.02     0.0290898
        27.96     -0.327527          0.02     0.0290881
        27.98     -0.242575          0.02     0.0290776
           28     -0.149795          0.02     0.0290667
        28.02    -0.0508194          0.02     0.0290641
        28.04     0.0526319          0.02     0.0290714
        28.06      0.158609          0.02     0.0290821
        28.08      0.264732          0.02     0.0290874
         28.1      0.367976          0.02     0.0290837
        28.12      0.464532          0.02     0.0290749
        28.14      0.549813          0.02     0.0290682
        28.16      0.618648          0.02     0.0290681
        28.18      0.665666          0.02     0.0290731
         28.2      0.685824          0.02     0.0290785
        28.22      0.674973          0.02     0.0290815
        28.24      0.630357          0.02     0.0290827
        28.26      0.550932          0.02     0.0290844
        28.28       0.43744          0.02      0.029087
         28.3      0.292213          0.02     0.0290885
        28.32      0.118769          0.02     0.0290868
        28.34    -0.0787185          0.02     0.0290832
        28.36     -0.295949          0.02     0.0290813
        28.38     -0.528909          0.02     0.0290847
         28.4     -0.774084          0.02     0.0290934
        28.42      -1.02846          0.02      0.029103
        28.44      -1.28932          0.02      0.029108
        28.46      -1.55392          0.02      0.029105
        28.48      -1.81918          0.02     0.0290952
         28.5       -2.0814          0.02     0.0290842
        28.52      -2.33616          0.02     0.0290786
        28.54      -2.57837          0.02     0.0290826
        28.56      -2.80243          0.02     0.0290937
        28.58      -3.00253          0.02     0.0291037
         28.6      -3.17292          0.02     0.0291032
        28.62      -3.30817          0.02     0.0290895
        28.64      -3.40343          0.02     0.0290704
        28.66      -3.45452          0.02     0.0290595
        28.68      -3.45814          0.02     0.0290654
         28.7      -3.41202          0.02     0.0290831
        28.72      -3.31516          0.02     0.0290967
        28.74      -3.16812          0.02     0.0290922
        28.76      -2.97328          0.02     0.0290701
        28.78      -2.73511          0.02     0.0290461
         28.8      -2.46027          0.02     0.0290386
        28.82      -2.15749          0.02     0.0290532
        28.84      -1.83727          0.02      0.029078
        28.86      -1.51123          0.02     0.0290944
        28.88      -1.19142          0.02     0.0290928
         28.9     -0.889435          0.02     0.0290789
        28.92     -0.615596          0.02     0.0290674
        28.94      -0.37831          0.02      0.029068
        28.96      -0.18359          0.02     0.0290789
        28.98    -0.0348506          0.02     0.0290911
           29      0.067083          0.02     0.0290975
        29.02      0.123791          0.02     0.0290983
        29.04      0.138984          0.02     0.0290972
        29.06      0.118193          0.02     0.0290951
        29.08     0.0684827          0.02     0.0290894
         29.1   -0.00181812          0.02     0.0290788
        29.12    -0.0833804          0.02     0.0290677
        29.14     -0.166178          0.02     0.0290644
        29.16     -0.239868          0.02     0.0290732
        29.18     -0.294266          0.02     0.0290893
         29.2      -0.31991          0.02     0.0291008
        29.22     -0.308654          0.02     0.0290983
        29.24     -0.254226          0.02     0.0290824
        29.26     -0.152656          0.02     0.0290637
        29.28   -0.00251215          0.02      0.029055
         29.3      0.195105          0.02     0.0290623
        29.32      0.436808          0.02     0.0290807
        29.34      0.717363          0.02     0.0290985
        29.36       1.03024          0.02     0.0291052
        29.38       1.36822          0.02     0.0290981
         29.4       1.72386          0.02     0.0290835
        29.42       2.08995          0.02     0.0290724
        29.44       2.45969          0.02     0.0290725
        29.46       2.82677          0.02     0.0290827
        29.48       3.18535          0.02     0.0290936
         29.5       3.52992          0.02     0.0290955
        29.52       3.85516          0.02     0.0290865
        29.54       4.15593          0.02     0.0290751
        29.56       4.42713          0.02      0.029073
        29.58       4.66389          0.02     0.0290843
         29.6       4.86156          0.02     0.0291001
        29.62       5.01595          0.02     0.0291055
        29.64       5.12348          0.02     0.0290933
        29.66        5.1813          0.02     0.0290724
        29.68       5.18745          0.02     0.0290618
         29.7       5.14087          0.02     0.0290742
        29.72       5.04148          0.02     0.0291033
        29.74       4.89005          0.02     0.0291269
        29.76       4.68816          0.02     0.0291247
        29.78         4.438          0.02     0.0290948
         29.8       4.14229          0.02     0.0290564
        29.82       3.80407          0.02     0.0290352
        29.84       3.42661          0.02     0.0290433
        29.86       3.01338          0.02     0.0290715
        29.88        2.5681          0.02     0.0290972
         29.9       2.09481          0.02      0.029102
        29.92       1.59807          0.02     0.0290841
        29.94       1.08314          0.02     0.0290573
        29.96      0.556157          0.02     0.0290397
        29.98     0.0241443          0.02     0.0290413
           30     -0.505019          0.02     0.0290596
        30.02      -1.02285          0.02     0.0290827
        30.04      -1.52062          0.02     0.0290983
        30.06      -1.98982          0.02     0.0290997
        30.08      -2.42265          0.02     0.0290893
         30.1      -2.81244          0.02     0.0290759
        30.12      -3.15393          0.02     0.0290697
        30.14      -3.44344          0.02     0.0290763
        30.16      -3.67878          0.02     0.0290927
        30.18      -3.85914          0.02      0.029109
         30.2      -3.98479          0.02     0.0291148
        30.22      -4.05693          0.02      0.029106
        30.24      -4.07752          0.02     0.0290877
        30.26       -4.0493          0.02     0.0290708
        30.28      -3.97591          0.02     0.0290642
         30.3      -3.86208          0.02     0.0290696
        30.32      -3.71378          0.02     0.0290808
        30.34       -3.5383          0.02     0.0290896
        30.36       -3.3441          0.02     0.0290906
        30.38      -3.14042          0.02     0.0290843
         30.4      -2.93672          0.02     0.0290756
        30.42      -2.74193          0.02     0.0290705
        30.44       -2.5637          0.02     0.0290732
        30.46      -2.40779          0.02     0.0290837
        30.48      -2.27761          0.02     0.0290978
         30.5      -2.17413          0.02     0.0291083
        30.52       -2.0961          0.02     0.0291084
        30.54      -2.04048          0.02     0.0290965
        30.56      -2.00307          0.02     0.0290791
        30.58      -1.97912          0.02     0.0290678
         30.6      -1.96383          0.02     0.0290713
        30.62      -1.95271          0.02     0.0290884
        30.64      -1.94163          0.02     0.0291069
        30.66      -1.92674          0.02     0.0291121
        30.68      -1.90424          0.02     0.0290979
         30.7      -1.87024          0.02     0.0290727
        30.72      -1.82057          0.02     0.0290532
        30.74      -1.75098          0.02     0.0290516
        30.76      -1.65739          0.02     0.0290666
        30.78      -1.53631          0.02     0.0290846
         30.8      -1.38538          0.02     0.0290915
        30.82      -1.20379          0.02     0.0290835
        30.84       -0.9925          0.02     0.0290693
        30.86       -0.7543          0.02     0.0290607
        30.88     -0.493507          0.02     0.0290625
         30.9     -0.215493          0.02       0.02907
        30.92     0.0739276          0.02      0.029075
        30.94      0.369115          0.02     0.0290747
        30.96       0.66511          0.02     0.0290735
        30.98      0.957941          0.02     0.0290775
           31        1.2447          0.02     0.0290862
        31.02       1.52339          0.02     0.0290925
        31.04       1.79266          0.02      0.029089
        31.06       2.05141          0.02     0.0290766
        31.08       2.29851          0.02     0.0290651
         31.1       2.53253          0.02     0.0290651
        31.12       2.75165          0.02     0.0290786
        31.14       2.95365          0.02     0.0290967
        31.16       3.13601          0.02     0.0291069
        31.18       3.29599          0.02     0.0291033
         31.2       3.43075          0.02     0.0290909
        31.22        3.5374          0.02     0.0290802
        31.24       3.61305          0.02     0.0290786
        31.26       3.65482          0.02     0.0290853
        31.28       3.65994          0.02     0.0290936
         31.3       3.62595          0.02      0.029098
        31.32       3.55085          0.02     0.0290976
        31.34       3.43349          0.02     0.0290953
        31.36       3.27388          0.02     0.0290933
        31.38       3.07339          0.02      0.029091
         31.4       2.83497          0.02      0.029087
        31.42       2.56306          0.02     0.0290814
        31.44       2.26341          0.02     0.0290763
        31.46       1.94268          0.02      0.029074
        31.48       1.60796          0.02     0.0290744
         31.5       1.26634          0.02     0.0290757
        31.52      0.924462          0.02     0.0290761
        31.54      0.588255          0.02     0.0290758
        31.56      0.262833          0.02     0.0290764
        31.58    -0.0474614          0.02     0.0290782
         31.6     -0.338913          0.02       0.02908
        31.62     -0.608241          0.02     0.0290806
        31.64     -0.852425          0.02     0.0290805
        31.66      -1.06861          0.02     0.0290817
        31.68      -1.25412          0.02     0.0290856
         31.7      -1.40649          0.02     0.0290906
        31.72      -1.52371          0.02     0.0290929
        31.74      -1.60431          0.02     0.0290903
        31.76      -1.64759          0.02     0.0290844
        31.78      -1.65373          0.02     0.0290798
         31.8       -1.6239          0.02     0.0290798
        31.82      -1.56031          0.02     0.0290829
        31.84      -1.46626          0.02     0.0290844
        31.86      -1.34611          0.02     0.0290808
        31.88      -1.20525          0.02     0.0290735
         31.9         -1.05          0.02      0.029068
        31.92     -0.887406          0.02     0.0290688
        31.94      -0.72498          0.02     0.0290751
        31.96     -0.570278          0.02     0.0290807
        31.98     -0.430453          0.02     0.0290803
           32     -0.311775          0.02     0.0290737
        32.02     -0.219197          0.02     0.0290665
        32.04     -0.156055          0.02      0.029065
        32.06     -0.123947          0.02     0.0290713
        32.08     -0.122815          0.02     0.0290814
         32.1      -0.15121          0.02      0.029089
        32.12     -0.206681          0.02     0.0290912
        32.14     -0.286196          0.02     0.0290894
        32.16     -0.386502          0.02     0.0290879
        32.18     -0.504361          0.02     0.0290888
         32.2     -0.636617          0.02     0.0290908
        32.22     -0.780101          0.02     0.0290911
        32.24      -0.93145          0.02     0.0290887
        32.26      -1.08691          0.02     0.0290855
        32.28      -1.24219          0.02      0.029084
         32.3       -1.3925          0.02      0.029085
        32.32       -1.5327          0.02     0.0290868
        32.34      -1.65764          0.02     0.0290875
        32.36      -1.76251          0.02     0.0290869
        32.38       -1.8433          0.02      0.029087
         32.4      -1.89708          0.02     0.0290894
        32.42      -1.92215          0.02     0.0290932
        32.44      -1.91808          0.02     0.0290953
        32.46      -1.88552          0.02     0.0290927
        32.48      -1.82601          0.02     0.0290856
         32.5       -1.7417          0.02     0.0290773
        32.52      -1.63516          0.02     0.0290718
        32.54       -1.5092          0.02     0.0290718
        32.56      -1.36691          0.02      0.029077
        32.58      -1.21161          0.02     0.0290849
         32.6       -1.0469          0.02     0.0290918
        32.62     -0.876663          0.02     0.0290934
        32.64      -0.70496          0.02     0.0290864
        32.66     -0.535854          0.02     0.0290718
        32.68     -0.373174          0.02     0.0290562
         32.7     -0.220253          0.02     0.0290497
        32.72    -0.0797124          0.02      0.029059
        32.74     0.0466821          0.02     0.0290811
        32.76      0.158038          0.02      0.029102
        32.78      0.254257          0.02     0.0291067
         32.8      0.335872          0.02     0.0290906
        32.82      0.403866          0.02     0.0290655
        32.84      0.459503          0.02     0.0290513
        32.86      0.504227          0.02     0.0290609
        32.88       0.53962          0.02      0.029088
         32.9      0.567428          0.02     0.0291118
        32.92      0.589605          0.02     0.0291134
        32.94      0.608337          0.02     0.0290922
        32.96      0.626021          0.02     0.0290659
        32.98      0.645187          0.02     0.0290561
           33      0.668359          0.02     0.0290695
        33.02      0.697893          0.02     0.0290924
        33.04      0.735832          0.02     0.0291035
        33.06      0.783799          0.02     0.0290922
        33.08       0.84295          0.02     0.0290686
         33.1      0.913982          0.02     0.0290538
        33.12      0.997164          0.02     0.0290617
        33.14       1.09237          0.02     0.0290864
        33.16       1.19906          0.02     0.0291078
        33.18       1.31622          0.02     0.0291088
         33.2       1.44224          0.02     0.0290891
        33.22       1.57483          0.02     0.0290649
        33.24       1.71089          0.02     0.0290552
        33.26       1.84654          0.02     0.0290661
        33.28       1.97722          0.02      0.029088
         33.3       2.09792          0.02     0.0291043
        33.32       2.20352          0.02     0.0291054
        33.34       2.28908          0.02     0.0290941
        33.36       2.35025          0.02     0.0290818
        33.38        2.3834          0.02     0.0290779
         33.4       2.38584          0.02     0.0290838
        33.42       2.35574          0.02     0.0290933
        33.44        2.2921          0.02     0.0290988
        33.46       2.19466          0.02     0.0290968
        33.48       2.06385          0.02     0.0290894
         33.5       1.90081          0.02     0.0290815
        33.52       1.70759          0.02     0.0290778
        33.54       1.48728          0.02     0.0290804
        33.56       1.24429          0.02     0.0290873
        33.58      0.984466          0.02     0.0290937
         33.6      0.715012          0.02     0.0290946
        33.62      0.444299          0.02     0.0290879
        33.64       0.18139          0.02     0.0290769
        33.66    -0.0645716          0.02     0.0290687
        33.68      -0.28505          0.02     0.0290683
         33.7     -0.472763          0.02     0.0290749
        33.72     -0.622185          0.02     0.0290818
        33.74     -0.729818          0.02     0.0290815
        33.76     -0.794229          0.02     0.0290727
        33.78     -0.815857          0.02     0.0290614
         33.8     -0.796677          0.02     0.0290561
        33.82     -0.739831          0.02     0.0290606
        33.84     -0.649304          0.02     0.0290709
        33.86     -0.529736          0.02     0.0290789
        33.88      -0.38638          0.02     0.0290798
         33.9      -0.22519          0.02      0.029075
        33.92    -0.0529576          0.02       0.02907
        33.94      0.122593          0.02     0.0290689
        33.96      0.292848          0.02     0.0290721
        33.98      0.448551          0.02     0.0290778
           34      0.580276          0.02     0.0290851
        34.02      0.679081          0.02     0.0290942
        34.04      0.737267          0.02     0.0291034
        34.06      0.749106          0.02     0.0291083
        34.08      0.711433          0.02     0.0291042
         34.1      0.623977          0.02     0.0290916
        34.12      0.489375          0.02     0.0290781
        34.14      0.312866          0.02     0.0290736
        34.16      0.101704          0.02     0.0290817
        34.18     -0.135592          0.02     0.0290963
         34.2     -0.390053          0.02      0.029106
        34.22     -0.652992          0.02      0.029103
        34.24     -0.916564          0.02     0.0290896
        34.26      -1.17409          0.02     0.0290753
        34.28      -1.42014          0.02     0.0290689
         34.3      -1.65042          0.02     0.0290723
        34.32       -1.8615          0.02     0.0290814
        34.34      -2.05058          0.02     0.0290905
        34.36      -2.21523          0.02     0.0290968
        34.38      -2.35332          0.02     0.0290993
         34.4      -2.46304          0.02     0.0290969
        34.42      -2.54312          0.02     0.0290888
        34.44      -2.59299          0.02      0.029077
        34.46      -2.61309          0.02     0.0290677
        34.48      -2.60501          0.02     0.0290674
         34.5      -2.57147          0.02     0.0290766
        34.52       -2.5162          0.02     0.0290877
        34.54      -2.44358          0.02     0.0290906
        34.56      -2.35828          0.02     0.0290813
        34.58      -2.26471          0.02     0.0290667
         34.6      -2.16666          0.02     0.0290589
        34.62      -2.06693          0.02     0.0290644
        34.64      -1.96724          0.02     0.0290782
        34.66      -1.86818          0.02     0.0290882
        34.68      -1.76943          0.02     0.0290861
         34.7      -1.66996          0.02     0.0290752
        34.72      -1.56838          0.02      0.029067
        34.74      -1.46324          0.02       0.02907
        34.76       -1.3532          0.02      0.029082
        34.78      -1.23724          0.02     0.0290925
         34.8      -1.11474          0.02     0.0290925
        34.82     -0.985492          0.02     0.0290831
        34.84     -0.849728          0.02     0.0290739
        34.86     -0.708072          0.02     0.0290738
        34.88      -0.56153          0.02     0.0290833
         34.9     -0.411445          0.02     0.0290937
        34.92     -0.259425          0.02     0.0290964
        34.94     -0.107232          0.02     0.0290898
        34.96      0.043368          0.02     0.0290804
        34.98       0.19079          0.02     0.0290758
           35      0.333806          0.02     0.0290777
        35.02      0.471685          0.02     0.0290816
        35.04      0.604257          0.02     0.0290821
        35.06      0.731863          0.02     0.0290787
        35.08      0.855214          0.02     0.0290758
         35.1      0.975163          0.02     0.0290783
        35.12       1.09245          0.02     0.0290856
        35.14       1.20746          0.02     0.0290925
        35.16       1.32014          0.02     0.0290939
        35.18       1.42992          0.02     0.0290896
         35.2       1.53591          0.02     0.0290844
        35.22        1.6371          0.02     0.0290831
        35.24       1.73266          0.02     0.0290865
        35.26       1.82215          0.02     0.0290909
        35.28       1.90575          0.02     0.0290923
         35.3       1.98419          0.02     0.0290895
        35.32       2.05863          0.02      0.029085
        35.34       2.13035          0.02     0.0290816
        35.36       2.20034          0.02     0.0290799
        35.38       2.26894          0.02     0.0290789
         35.4       2.33554          0.02     0.0290779
        35.42       2.39836          0.02     0.0290779
        35.44       2.45451          0.02       0.02908
        35.46       2.50013          0.02     0.0290831
        35.48       2.53076          0.02     0.0290845
         35.5       2.54169          0.02     0.0290822
        35.52       2.52845          0.02     0.0290775
        35.54       2.48719          0.02     0.0290749
        35.56       2.41501          0.02     0.0290777
        35.58       2.31025          0.02     0.0290854
         35.6       2.17256          0.02     0.0290927
        35.62       2.00299          0.02     0.0290939
        35.64       1.80395          0.02     0.0290873
        35.66       1.57905          0.02     0.0290762
        35.68       1.33295          0.02     0.0290673
         35.7       1.07104          0.02     0.0290655
        35.72      0.799225          0.02     0.0290713
        35.74      0.523511          0.02     0.0290808
        35.76      0.249742          0.02     0.0290883
        35.78    -0.0166989          0.02     0.0290895
         35.8     -0.271084          0.02     0.0290841
        35.82     -0.509438          0.02     0.0290751
        35.84     -0.728534          0.02     0.0290673
        35.86     -0.925807          0.02     0.0290646
        35.88      -1.09922          0.02     0.0290675
         35.9      -1.24715          0.02     0.0290738
        35.92       -1.3683          0.02     0.0290803
        35.94      -1.46175          0.02     0.0290855
        35.96      -1.52707          0.02     0.0290895
        35.98      -1.56449          0.02     0.0290923
           36      -1.57511          0.02     0.0290927
        36.02      -1.56107          0.02      0.029089
        36.04      -1.52555          0.02     0.0290815
        36.06      -1.47264          0.02     0.0290743
        36.08      -1.40708          0.02     0.0290726
         36.1      -1.33379          0.02     0.0290794
        36.12      -1.25744          0.02     0.0290919
        36.14      -1.18195          0.02     0.0291026
        36.16      -1.11024          0.02      0.029105
        36.18        -1.044          0.02      0.029098
         36.2     -0.983851          0.02     0.0290862
        36.22     -0.929572          0.02     0.0290765
        36.24     -0.880489          0.02     0.0290737
        36.26     -0.835902          0.02      0.029078
        36.28     -0.795434          0.02     0.0290862
         36.3      -0.75923          0.02     0.0290942
        36.32     -0.727974          0.02     0.0290985
        36.34     -0.702723          0.02     0.0290975
        36.36     -0.684614          0.02     0.0290916
        36.38     -0.674527          0.02     0.0290836
         36.4     -0.672802          0.02     0.0290777
        36.42     -0.679092          0.02     0.0290771
        36.44     -0.692381          0.02     0.0290811
        36.46     -0.711187          0.02     0.0290859
        36.48     -0.733885          0.02     0.0290868
         36.5     -0.759067          0.02     0.0290827
        36.52      -0.78585          0.02     0.0290768
        36.54      -0.81404          0.02     0.0290738
        36.56     -0.844096          0.02      0.029075
        36.58     -0.876901          0.02     0.0290772
         36.6     -0.913376          0.02     0.0290756
        36.62      -0.95403          0.02     0.0290691
        36.64     -0.998549          0.02     0.0290621
        36.66      -1.04554          0.02     0.0290619
        36.68      -1.09246          0.02     0.0290712
         36.7      -1.13585          0.02      0.029085
        36.72      -1.17167          0.02     0.0290934
        36.74      -1.19584          0.02     0.0290892
        36.76      -1.20477          0.02     0.0290744
        36.78      -1.19576          0.02     0.0290605
         36.8      -1.16721          0.02     0.0290594
        36.82      -1.11859          0.02     0.0290742
        36.84       -1.0502          0.02     0.0290957
        36.86     -0.962723          0.02     0.0291087
        36.88     -0.856773          0.02     0.0291038
         36.9     -0.732505          0.02     0.0290847
        36.92     -0.589396          0.02     0.0290662
        36.94     -0.426274          0.02     0.0290622
        36.96     -0.241588          0.02     0.0290752
        36.98    -0.0338745          0.02     0.0290946
           37      0.197697          0.02     0.0291057
        37.02       0.45281          0.02     0.0291015
        37.04      0.729637          0.02     0.0290873
        37.06       1.02471          0.02     0.0290752
        37.08       1.33306          0.02     0.0290732
         37.1       1.64852          0.02     0.0290798
        37.12       1.96427          0.02     0.0290874
        37.14       2.27332          0.02     0.0290907
        37.16       2.56901          0.02     0.0290908
        37.18       2.84528          0.02     0.0290922
         37.2       3.09684          0.02     0.0290955
        37.22       3.31916          0.02     0.0290956
        37.24       3.50837          0.02      0.029087
        37.26        3.6611          0.02     0.0290716
        37.28        3.7744          0.02     0.0290598
         37.3       3.84581          0.02     0.0290627
        37.32       3.87342          0.02      0.029081
        37.34       3.85614          0.02     0.0291026
        37.36       3.79389          0.02     0.0291109
        37.38        3.6878          0.02     0.0290987
         37.4       3.54033          0.02     0.0290751
        37.42       3.35516          0.02     0.0290583
        37.44       3.13705          0.02     0.0290614
        37.46       2.89152          0.02     0.0290814
        37.48       2.62455          0.02     0.0291023
         37.5       2.34218          0.02      0.029108
        37.52        2.0503          0.02     0.0290951
        37.54       1.75434          0.02     0.0290745
        37.56       1.45917          0.02     0.0290614
        37.58       1.16892          0.02     0.0290635
         37.6      0.886854          0.02     0.0290759
        37.62      0.615285          0.02     0.0290865
        37.64      0.355436          0.02     0.0290865
        37.66       0.10737          0.02     0.0290763
        37.68     -0.130002          0.02     0.0290637
         37.7     -0.358798          0.02     0.0290569
        37.72     -0.581897          0.02     0.0290592
        37.74     -0.802547          0.02     0.0290678
        37.76      -1.02389          0.02     0.0290772
        37.78       -1.2485          0.02     0.0290833
         37.8        -1.478          0.02     0.0290851
        37.82      -1.71285          0.02     0.0290837
        37.84      -1.95238          0.02     0.0290814
        37.86      -2.19498          0.02       0.02908
        37.88      -2.43849          0.02     0.0290813
         37.9      -2.68058          0.02     0.0290859
        37.92      -2.91912          0.02     0.0290931
        37.94      -3.15235          0.02     0.0291004
        37.96      -3.37881          0.02     0.0291045
        37.98      -3.59712          0.02     0.0291026
           38      -3.80554          0.02     0.0290946
        38.02      -4.00152          0.02     0.0290835
        38.04      -4.18137          0.02     0.0290747
        38.06      -4.34015          0.02     0.0290732
        38.08      -4.47184          0.02     0.0290804
         38.1      -4.56976          0.02     0.0290923
        38.12      -4.62729          0.02     0.0291018
        38.14      -4.63865          0.02     0.0291023
        38.16      -4.59961          0.02      0.029093
        38.18      -4.50802          0.02     0.0290797
         38.2      -4.36409          0.02     0.0290711
        38.22      -4.17021          0.02     0.0290723
        38.24      -3.93064          0.02     0.0290812
        38.26      -3.65085          0.02     0.0290901
        38.28      -3.33688          0.02      0.029092
         38.3      -2.99469          0.02     0.0290862
        38.32      -2.62973          0.02     0.0290779
        38.34      -2.24672          0.02     0.0290734
        38.36      -1.84964          0.02     0.0290744
        38.38      -1.44194          0.02     0.0290771
         38.4      -1.02682          0.02     0.0290766
        38.42      -0.60757          0.02     0.0290721
        38.44     -0.187766          0.02     0.0290678
        38.46      0.228614          0.02     0.0290692
        38.48      0.637242          0.02     0.0290775
         38.5       1.03361          0.02     0.0290878
        38.52       1.41328          0.02     0.0290929
        38.54       1.77219          0.02     0.0290889
        38.56       2.10682          0.02     0.0290785
        38.58       2.41441          0.02     0.0290696
         38.6       2.69301          0.02      0.029069
        38.62       2.94135          0.02     0.0290783
        38.64       3.15878          0.02     0.0290918
        38.66       3.34505          0.02     0.0291011
        38.68       3.50013          0.02     0.0291001
         38.7       3.62398          0.02     0.0290894
        38.72       3.71649          0.02     0.0290757
        38.74       3.77733          0.02     0.0290672
        38.76       3.80602          0.02     0.0290681
        38.78       3.80191          0.02     0.0290755
         38.8       3.76435          0.02     0.0290829
        38.82       3.69278          0.02     0.0290846
        38.84       3.58691          0.02     0.0290807
        38.86       3.44689          0.02     0.0290754
        38.88       3.27343          0.02     0.0290729
         38.9       3.06793          0.02     0.0290737
        38.92       2.83256          0.02     0.0290748
        38.94        2.5703          0.02     0.0290746
        38.96       2.28487          0.02     0.0290751
        38.98        1.9807          0.02     0.0290805
           39       1.66271          0.02     0.0290913
        39.02       1.33617          0.02     0.0291019
        39.04       1.00644          0.02      0.029104
        39.06       0.67873          0.02     0.0290943
        39.08      0.357882          0.02     0.0290795
         39.1     0.0481795          0.02      0.029072
        39.12     -0.246746          0.02     0.0290795
        39.14     -0.523913          0.02     0.0290976
        39.16     -0.780884          0.02      0.029112
        39.18      -1.01557          0.02     0.0291096
         39.2      -1.22597          0.02     0.0290901
        39.22      -1.40994          0.02     0.0290672
        39.24      -1.56497          0.02     0.0290586
        39.26      -1.68813          0.02     0.0290713
        39.28      -1.77615          0.02     0.0290961
         39.3      -1.82571          0.02     0.0291139
        39.32      -1.83383          0.02     0.0291101
        39.34      -1.79836          0.02     0.0290864
        39.36      -1.71849          0.02     0.0290593
        39.38      -1.59511          0.02     0.0290484
         39.4      -1.43099          0.02     0.0290617
        39.42      -1.23077          0.02     0.0290897
        39.44      -1.00061          0.02     0.0291117
        39.46       -0.7477          0.02     0.0291114
        39.48     -0.479667          0.02     0.0290884
         39.5     -0.203961          0.02     0.0290584
        39.52     0.0726325          0.02     0.0290419
        39.54      0.344273          0.02     0.0290487
        39.56      0.606112          0.02     0.0290718
        39.58      0.854125          0.02     0.0290933
         39.6        1.0848          0.02     0.0290981
        39.62       1.29476          0.02     0.0290847
        39.64       1.48053          0.02     0.0290651
        39.66       1.63836          0.02     0.0290541
        39.68       1.76431          0.02     0.0290586
         39.7       1.85455          0.02     0.0290736
        39.72       1.90579          0.02     0.0290881
        39.74       1.91569          0.02     0.0290939
        39.76       1.88333          0.02     0.0290903
        39.78       1.80945          0.02     0.0290824
         39.8        1.6965          0.02     0.0290767
        39.82       1.54854          0.02     0.0290765
        39.84        1.3709          0.02     0.0290822
        39.86       1.16973          0.02     0.0290914
        39.88      0.951573          0.02     0.0291002
         39.9      0.722876          0.02     0.0291041
        39.92      0.489676          0.02        0.0291
        39.94      0.257315          0.02     0.0290891
        39.96     0.0302868          0.02     0.0290778
        39.98      -0.18786          0.02     0.0290737
           40     -0.394564          0.02     0.0290799
        40.02     -0.588256          0.02     0.0290916
        40.04     -0.768338          0.02     0.0290986
        40.06     -0.935115          0.02     0.0290939
        40.08      -1.08967          0.02     0.0290803
         40.1      -1.23368          0.02     0.0290685
        40.12      -1.36915          0.02      0.029069
